open supabase/.temp/profile: no such file or directory
Supabase CLI 2.67.1
Using profile: supabase (supabase.co)
Setting up Edge Functions runtime...
Added directory from watcher: /Users/andrescordero/golplay-web/supabase/functions/
Added directory from watcher: /Users/andrescordero/golplay-web/supabase/functions/create-booking
Added directory from watcher: /Users/andrescordero/golplay-web/supabase/functions/handle-overdue
2026-01-01T17:44:27.800450167Z DEBUG No .npmrc file found
2026-01-01T17:44:27.800489334Z DEBUG Finished config loading.
2026-01-01T17:44:27.800746626Z DEBUG Opening cache /root/.cache/deno/dep_analysis_cache_v2...
2026-01-01T17:44:27.800751376Z DEBUG Opening cache /root/.cache/deno/node_analysis_cache_v2...
2026-01-01T17:44:27.801192626Z DEBUG Opening cache /root/.cache/deno/dep_analysis_cache_v2...
2026-01-01T17:44:27.802041459Z DEBUG Opening cache /root/.cache/deno/node_analysis_cache_v2...
2026-01-01T17:44:27.803848959Z DEBUG FileFetcher::fetch_no_follow_with_options - specifier: file:///root/index.ts
2026-01-01T17:44:27.804273709Z DEBUG FileFetcher::fetch_no_follow_with_options - specifier: https://deno.land/std/http/status.ts
2026-01-01T17:44:27.804379792Z DEBUG FileFetcher::fetch_remote_no_follow - specifier: https://deno.land/std/http/status.ts
2026-01-01T17:44:27.804383834Z DEBUG FileFetcher::fetch_cached_no_follow - specifier: https://deno.land/std/http/status.ts
2026-01-01T17:44:27.805060792Z DEBUG FileFetcher::fetch_no_follow_with_options - specifier: https://deno.land/std/path/posix/mod.ts
2026-01-01T17:44:27.805069251Z DEBUG FileFetcher::fetch_remote_no_follow - specifier: https://deno.land/std/path/posix/mod.ts
2026-01-01T17:44:27.805070501Z DEBUG FileFetcher::fetch_cached_no_follow - specifier: https://deno.land/std/path/posix/mod.ts
2026-01-01T17:44:27.805117209Z DEBUG FileFetcher::fetch_no_follow_with_options - specifier: https://deno.land/x/jose@v4.13.1/index.ts
2026-01-01T17:44:27.805119042Z DEBUG FileFetcher::fetch_remote_no_follow - specifier: https://deno.land/x/jose@v4.13.1/index.ts
2026-01-01T17:44:27.805120084Z DEBUG FileFetcher::fetch_cached_no_follow - specifier: https://deno.land/x/jose@v4.13.1/index.ts
2026-01-01T17:44:27.805692751Z DEBUG FileFetcher::fetch_no_follow_with_options - specifier: https://deno.land/std@0.224.0/http/status.ts
2026-01-01T17:44:27.805700251Z DEBUG FileFetcher::fetch_remote_no_follow - specifier: https://deno.land/std@0.224.0/http/status.ts
2026-01-01T17:44:27.805701417Z DEBUG FileFetcher::fetch_cached_no_follow - specifier: https://deno.land/std@0.224.0/http/status.ts
2026-01-01T17:44:27.806307042Z DEBUG FileFetcher::fetch_no_follow_with_options - specifier: https://deno.land/std@0.224.0/path/posix/mod.ts
2026-01-01T17:44:27.806404584Z DEBUG FileFetcher::fetch_remote_no_follow - specifier: https://deno.land/std@0.224.0/path/posix/mod.ts
2026-01-01T17:44:27.806410126Z DEBUG FileFetcher::fetch_cached_no_follow - specifier: https://deno.land/std@0.224.0/path/posix/mod.ts
2026-01-01T17:44:27.806411334Z DEBUG FileFetcher::fetch_no_follow_with_options - specifier: https://deno.land/x/jose@v4.13.1/jwe/compact/decrypt.ts
2026-01-01T17:44:27.806412584Z DEBUG FileFetcher::fetch_remote_no_follow - specifier: https://deno.land/x/jose@v4.13.1/jwe/compact/decrypt.ts
2026-01-01T17:44:27.806413626Z DEBUG FileFetcher::fetch_cached_no_follow - specifier: https://deno.land/x/jose@v4.13.1/jwe/compact/decrypt.ts
2026-01-01T17:44:27.806414626Z DEBUG FileFetcher::fetch_no_follow_with_options - specifier: https://deno.land/x/jose@v4.13.1/jwe/flattened/decrypt.ts
2026-01-01T17:44:27.806428251Z DEBUG FileFetcher::fetch_remote_no_follow - specifier: https://deno.land/x/jose@v4.13.1/jwe/flattened/decrypt.ts
2026-01-01T17:44:27.806430417Z DEBUG FileFetcher::fetch_cached_no_follow - specifier: https://deno.land/x/jose@v4.13.1/jwe/flattened/decrypt.ts
2026-01-01T17:44:27.807382042Z DEBUG FileFetcher::fetch_no_follow_with_options - specifier: https://deno.land/x/jose@v4.13.1/jwe/general/decrypt.ts
2026-01-01T17:44:27.807393667Z DEBUG FileFetcher::fetch_remote_no_follow - specifier: https://deno.land/x/jose@v4.13.1/jwe/general/decrypt.ts
2026-01-01T17:44:27.807394959Z DEBUG FileFetcher::fetch_cached_no_follow - specifier: https://deno.land/x/jose@v4.13.1/jwe/general/decrypt.ts
2026-01-01T17:44:27.807396167Z DEBUG FileFetcher::fetch_no_follow_with_options - specifier: https://deno.land/x/jose@v4.13.1/jwe/general/encrypt.ts
2026-01-01T17:44:27.807397209Z DEBUG FileFetcher::fetch_remote_no_follow - specifier: https://deno.land/x/jose@v4.13.1/jwe/general/encrypt.ts
2026-01-01T17:44:27.807398251Z DEBUG FileFetcher::fetch_cached_no_follow - specifier: https://deno.land/x/jose@v4.13.1/jwe/general/encrypt.ts
